,0,1,2,3,4,5,6,7,8,9,10
400,54,100,106,60743,3517,17280,3061,2006,803,340,502
401,38,100,81,611342,337313,48171,13442,12462,4202,3219,1255
402,38,100,76,611342,337313,48171,13442,12462,4202,3219,1255
403,38,91,136,19663,5916,5152,1783,2001,826,824,572
404,38,91,41,19663,5916,5152,1783,2001,826,824,572
405,14,91,40,73813,44348,39913,34845,5143,916,333,263
406,14,91,91,73813,44348,39913,34845,5143,916,333,263
407,21,75,68,1870208,114857,18425,40343,11255,12492,3316,1798
408,21,75,23,1870208,114857,18425,40343,11255,12492,3316,1798
409,37,78,115,42444,19076,2543,5526,5787,2352,569,732
410,37,78,101,42444,19076,2543,5526,5787,2352,569,732
411,35,67,36,625136,225277,43526,14910,9990,13207,6158,3086
412,35,67,185,625136,225277,43526,14910,9990,13207,6158,3086
413,43,50,96,37691,9966,1165,659,1643,304,338,128
414,43,50,120,37691,9966,1165,659,1643,304,338,128
415,43,53,183,6760,19575,12368,1915,1056,2883,1014,1204
416,43,53,-101,6760,19575,12368,1915,1056,2883,1014,1204
417,37,56,187,782293,74803,15168,24548,7666,3379,791,496
418,37,56,-85,782293,74803,15168,24548,7666,3379,791,496
419,44,54,208,207741,115530,2640,22697,7874,20960,1161,2824
420,44,54,-276,207741,115530,2640,22697,7874,20960,1161,2824
421,43,54,114,187098,54464,2236,7328,3453,1224,661,268
422,43,54,-294,187098,54464,2236,7328,3453,1224,661,268
423,53,53,21,1291704,33050,19100,10658,11743,20650,1920,2726
424,53,53,384,1291704,33050,19100,10658,11743,20650,1920,2726
425,53,53,73,347888,17608,7816,9339,16228,7320,795,470
426,53,53,704,347888,17608,7816,9339,16228,7320,795,470
427,53,53,74,1015810,109272,23989,54984,65334,107128,2719,1853
428,53,53,279,1015810,109272,23989,54984,65334,107128,2719,1853
429,53,53,71,1812915,208135,197736,128856,142815,101082,46185,64630
430,53,53,72,1812915,208135,197736,128856,142815,101082,46185,64630
431,53,53,72,15,1,0,0,0,0,0,0
432,53,53,71,15,1,0,0,0,0,0,0
433,53,53,-165,63,15,6,3,1,2,0,1
434,53,53,184,63,15,6,3,1,2,0,1
435,64,53,0,629297,86705,24155,49650,36561,21523,8725,3256
436,64,53,38,629297,86705,24155,49650,36561,21523,8725,3256
437,51,56,19,443082,99525,20731,16024,29520,3780,1328,5512
438,51,56,36,443082,99525,20731,16024,29520,3780,1328,5512
439,63,64,71,46544,12644,3216,4923,2744,1825,679,337
440,63,64,18,46544,12644,3216,4923,2744,1825,679,337
441,56,67,106,41425,15974,9599,6358,7973,4144,2171,1692
442,56,67,141,41425,15974,9599,6358,7973,4144,2171,1692
443,43,66,44,123498,36537,12749,8467,7904,1447,476,502
444,43,66,73,123498,36537,12749,8467,7904,1447,476,502
445,54,66,65,1691,5857,1720,737,1450,1132,246,431
446,54,66,49,1691,5857,1720,737,1450,1132,246,431
447,61,67,52,1686,2939,1963,698,407,964,449,232
448,61,67,272,1686,2939,1963,698,407,964,449,232
449,60,64,115,51041,11529,3998,2551,3803,2046,1219,686
450,70,57,-251,136085,26655,3709,3707,2525,4300,350,788
451,70,57,61,136085,26655,3709,3707,2525,4300,350,788
452,54,57,55,2007866,276182,43680,50085,31359,4718,2649,1952
453,54,57,84,2007866,276182,43680,50085,31359,4718,2649,1952
